right x, right y, right size, left x, left y, left size
3.265137,8.633789,34.972656,7.914795,7.738525,35.847656
3.267578,8.633545,34.960938,7.914551,7.734619,35.847656
3.268555,8.638916,34.953125,7.911377,7.731689,35.859375
3.262207,8.638916,34.949219,7.915771,7.729004,35.859375
3.265625,8.642578,34.941406,7.920654,7.727539,35.859375
3.266357,8.642578,34.929688,7.921631,7.725098,35.859375
3.268066,8.645508,34.929688,7.922363,7.721680,35.863281
3.266357,8.645996,34.917969,7.923096,7.717529,35.863281
3.266846,8.645020,34.921875,7.924316,7.714355,35.867188
3.267090,8.642090,34.917969,7.927490,7.711426,35.859375
3.257812,8.643799,34.914062,7.925537,7.707764,35.871094
3.255371,8.647949,34.929688,7.926025,7.705078,35.878906
3.255859,8.648682,34.929688,7.929688,7.704590,35.875000
3.256348,8.645996,34.921875,7.928955,7.702393,35.878906
3.262207,8.648926,34.925781,7.928223,7.699707,35.875000
3.261719,8.650879,34.914062,7.927246,7.697021,35.878906
3.264160,8.657959,34.906250,7.927979,7.694580,35.878906
3.263428,8.656006,34.894531,7.930908,7.692627,35.875000
3.266602,8.659912,34.890625,7.928711,7.690674,35.882812
3.261475,8.660889,34.902344,7.927734,7.691162,35.886719
3.261719,8.660400,34.906250,7.930664,7.691895,35.878906
3.258545,8.659424,34.898438,7.927979,7.690918,35.886719
3.261963,8.661133,34.898438,7.925781,7.688232,35.894531
3.260986,8.660156,34.902344,7.929443,7.688965,35.886719
3.263428,8.663818,34.894531,7.929688,7.688232,35.886719
3.266846,8.668701,34.890625,7.928955,7.684814,35.890625
3.264893,8.667480,34.894531,7.924805,7.685303,35.902344
3.262695,8.672119,34.894531,7.925293,7.687744,35.898438
3.254883,8.673340,34.898438,7.926514,7.687012,35.894531
3.253906,8.676758,34.906250,7.929688,7.687256,35.890625
3.258301,8.673584,34.910156,7.930664,7.692627,35.890625
3.256348,8.671143,34.906250,7.934570,7.692627,35.886719
3.258789,8.674072,34.902344,7.932617,7.693604,35.894531
3.256104,8.676514,34.910156,7.931152,7.694336,35.902344
3.255371,8.680908,34.898438,7.933105,7.691406,35.894531
3.254883,8.681396,34.890625,7.930420,7.692871,35.906250
3.251709,8.682129,34.902344,7.927490,7.692383,35.914062
3.250488,8.683105,34.894531,7.927490,7.693848,35.910156
3.256104,8.680664,34.894531,7.927490,7.694336,35.898438
3.260254,8.681152,34.898438,7.926758,7.694336,35.902344
3.262207,8.685547,34.894531,7.921875,7.696045,35.910156
3.265869,8.689209,34.886719,7.922607,7.701172,35.910156
3.258301,8.684326,34.890625,7.922119,7.701172,35.914062
3.255371,8.688965,34.894531,7.918945,7.700195,35.925781
3.249756,8.683350,34.898438,7.910889,7.701416,35.925781
3.246582,8.679199,34.898438,7.910400,7.702393,35.933594
3.243896,8.678223,34.898438,7.916016,7.702881,35.925781
3.246826,8.683350,34.898438,7.917725,7.703613,35.925781
3.244385,8.681152,34.898438,7.916016,7.706543,35.925781
3.239746,8.682617,34.886719,7.917236,7.706055,35.925781
3.244629,8.678955,34.878906,7.919434,7.704590,35.929688
3.239990,8.677490,34.875000,7.920410,7.705322,35.937500
3.242920,8.678467,34.875000,7.920410,7.706055,35.925781
3.241699,8.681641,34.863281,7.921631,7.703857,35.933594
3.243896,8.677979,34.867188,7.920166,7.705322,35.941406
